movie_title,imdb_score,year,gross,budget,profit_markup_pr,continent,genre,mycolor
Three Kings ,7.1,1999,60652036,48000000.00,26,Central America,Action,profit
Three Kings ,7.1,1999,60652036,48000000.00,26,Central America,Adventure,profit
Three Kings ,7.1,1999,60652036,48000000.00,26,Central America,Comedy,profit
Three Kings ,7.1,1999,60652036,48000000.00,26,Central America,Drama,profit
Three Kings ,7.1,1999,60652036,48000000.00,26,Central America,War,profit
The Country Bears ,4,2002,16988996,35000000.00,-51,Central America,Comedy,loss
The Country Bears ,4,2002,16988996,35000000.00,-51,Central America,Family,loss
The Country Bears ,4,2002,16988996,35000000.00,-51,Central America,Music,loss
The Country Bears ,4,2002,16988996,35000000.00,-51,Central America,Musical,loss
The Kite Runner ,7.6,2007,15797907,20000000.00,-21,Central America,Drama,loss
K-PAX ,7.4,2001,50173190,48000000.00,5,Central America,Drama,profit
K-PAX ,7.4,2001,50173190,48000000.00,5,Central America,Mystery,profit
K-PAX ,7.4,2001,50173190,48000000.00,5,Central America,Sci-Fi,profit
Kate & Leopold ,6.4,2001,47095453,48000000.00,-2,Central America,Comedy,loss
Kate & Leopold ,6.4,2001,47095453,48000000.00,-2,Central America,Fantasy,loss
Kate & Leopold ,6.4,2001,47095453,48000000.00,-2,Central America,Romance,loss
Bedazzled ,6,2000,37879996,48000000.00,-21,Central America,Comedy,loss
Bedazzled ,6,2000,37879996,48000000.00,-21,Central America,Fantasy,loss
Bedazzled ,6,2000,37879996,48000000.00,-21,Central America,Romance,loss
The Cotton Club ,6.5,1984,25900000,58000000.00,-55,Central America,Crime,loss
The Cotton Club ,6.5,1984,25900000,58000000.00,-55,Central America,Drama,loss
The Cotton Club ,6.5,1984,25900000,58000000.00,-55,Central America,Music,loss
3:10 to Yuma ,7.8,2007,53574088,55000000.00,-3,Central America,Adventure,loss
3:10 to Yuma ,7.8,2007,53574088,55000000.00,-3,Central America,Crime,loss
3:10 to Yuma ,7.8,2007,53574088,55000000.00,-3,Central America,Drama,loss
3:10 to Yuma ,7.8,2007,53574088,55000000.00,-3,Central America,Western,loss
Out of Sight ,7,1998,37339525,48000000.00,-22,Central America,Crime,loss
Out of Sight ,7,1998,37339525,48000000.00,-22,Central America,Drama,loss
Out of Sight ,7,1998,37339525,48000000.00,-22,Central America,Romance,loss
Out of Sight ,7,1998,37339525,48000000.00,-22,Central America,Thriller,loss
The Cable Guy ,6,1996,60154431,47000000.00,28,Central America,Comedy,profit
The Cable Guy ,6,1996,60154431,47000000.00,28,Central America,Drama,profit
The Cable Guy ,6,1996,60154431,47000000.00,28,Central America,Thriller,profit
